exchange,security_code,security_abbr,bond_name,issue_result_date,issue_date_source,amount_billion,amount_source,publish_date,title,url,parse_note,trace_result_url,trace_result_title,trace_result_publish_date,issue_month
SZSE,524247,25川高KV1,关于四川高速公路建设开发集团有限公司2025年面向专业投资者公开发行科技创新乡村振兴公司债券（第一期）上市有关事项的通知,2025-04-22,szse_result_announcement_publish_date,14.2,actual,2025-04-25,关于四川高速公路建设开发集团有限公司2025年面向专业投资者公开发行科技创新乡村振兴公司债券（第一期）上市有关事项的通知,http://www.szse.cn/disclosure/notice/bond/t20250425_613238.html,,http://disc.static.szse.cn/download/disc/disk03/finalpage/2025-04-22/6a4328a3-14bf-4ef9-96a1-99970b390277.PDF,25川高KV1：四川高速公路建设开发集团有限公司2025年面向专业投资者公开发行科技创新乡村振兴公司债券（第一期）发行结果公告,2025-04-22,2025-04
SSE,242884,25陕旅V1,陕西旅游集团有限公司2025年面向专业投资者公开发行乡村振兴公司债券（第一期）发行结果公告,2025-04-25,publish_date_fallback,6.0,scale,2025-04-25,陕西旅游集团有限公司2025年面向专业投资者公开发行乡村振兴公司债券（第一期）发行结果公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-04-25/242884_20250425_RSM2.pdf,,,,,2025-04
SSE,242872,苏垦KV01,江苏省农垦集团有限公司2025年面向专业投资者公开发行科技创新乡村振兴公司债券（第一期）发行结果公告,2025-05-07,sse_result_sentence,10.0,actual,2025-05-07,江苏省农垦集团有限公司2025年面向专业投资者公开发行科技创新乡村振兴公司债券（第一期）发行结果公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-05-07/242872_20250507_0SAI.pdf,,,,,2025-05
SSE,243057,GC核融V1,中核融资租赁有限公司2025年面向专业投资者公开发行绿色碳中和乡村振兴公司债券（第一期）（可持续挂钩）发行结果公告,2025-05-27,sse_result_sentence,7.0,actual,2025-05-27,中核融资租赁有限公司2025年面向专业投资者公开发行绿色碳中和乡村振兴公司债券（第一期）（可持续挂钩）发行结果公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-05-27/243057_20250527_PQCM.pdf,,,,,2025-05
SSE,243058,GC核融V2,中核融资租赁有限公司2025年面向专业投资者公开发行绿色碳中和乡村振兴公司债券（第一期）（可持续挂钩）发行结果公告,2025-05-27,sse_result_sentence,7.0,actual,2025-05-27,中核融资租赁有限公司2025年面向专业投资者公开发行绿色碳中和乡村振兴公司债券（第一期）（可持续挂钩）发行结果公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-05-27/243058_20250527_HXVL.pdf,,,,,2025-05
SSE,243066,25苏交V1,苏州交通投资集团有限责任公司2025年面向专业投资者公开发行乡村振兴公司债券（第一期）（长三角一体化）发行结果公告,2025-06-09,sse_result_sentence,10.0,actual,2025-06-09,苏州交通投资集团有限责任公司2025年面向专业投资者公开发行乡村振兴公司债券（第一期）（长三角一体化）发行结果公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-06-09/243066_20250609_F0Q8.pdf,,,,,2025-06
SSE,243135,25渝高V4,重庆高速公路集团有限公司2025年面向专业投资者公开发行乡村振兴公司债券(成渝双城经济圈)（第三期）发行结果公告,2025-06-12,sse_result_sentence,5.0,actual,2025-06-12,重庆高速公路集团有限公司2025年面向专业投资者公开发行乡村振兴公司债券(成渝双城经济圈)（第三期）发行结果公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-06-12/243135_20250612_O7M1.pdf,,,,,2025-06
SZSE,134293,25番水GV01,关于为广州市番禺污水治理有限公司2025年面向专业投资者非公开发行绿色乡村振兴公司债券（第一期）提供转让服务有关事项的通知,2025-06-17,szse_listing_start_sentence,3.0,total,2025-06-16,关于为广州市番禺污水治理有限公司2025年面向专业投资者非公开发行绿色乡村振兴公司债券（第一期）提供转让服务有关事项的通知,http://www.szse.cn/disclosure/notice/bond/t20250616_614187.html,,,,,2025-06
SZSE,134315,25兰资V1,关于为河南兴兰资产运营有限公司2025年面向专业投资者非公开发行乡村振兴公司债券（第一期）提供转让服务有关事项的通知,2025-06-25,szse_listing_start_sentence,8.0,total,2025-06-24,关于为河南兴兰资产运营有限公司2025年面向专业投资者非公开发行乡村振兴公司债券（第一期）提供转让服务有关事项的通知,http://www.szse.cn/disclosure/notice/bond/t20250624_614506.html,,,,,2025-06
SZSE,524341,25蓉环KV2,关于成都环境投资集团有限公司2025年面向专业投资者公开发行科技创新乡村振兴公司债券（第二期）上市有关事项的通知,2025-06-27,szse_result_sentence,5.0,total,2025-07-07,关于成都环境投资集团有限公司2025年面向专业投资者公开发行科技创新乡村振兴公司债券（第二期）上市有关事项的通知,http://www.szse.cn/disclosure/notice/bond/t20250707_614762.html,,http://disc.static.szse.cn/download/disc/disk03/finalpage/2025-06-27/226bc80b-0647-4826-bfda-d33581b760d5.PDF,25蓉环KV2：成都环境投资集团有限公司2025年面向专业投资者公开发行科技创新乡村振兴公司债券（第二期）发行结果公告,2025-06-27,2025-06
SZSE,134328,25容望V1,关于为江苏容望产业发展有限公司2025年面向专业投资者非公开发行乡村振兴公司债券（第一期）提供转让服务有关事项的通知,2025-06-30,szse_listing_start_sentence,5.5,total,2025-06-27,关于为江苏容望产业发展有限公司2025年面向专业投资者非公开发行乡村振兴公司债券（第一期）提供转让服务有关事项的通知,http://www.szse.cn/disclosure/notice/bond/t20250627_614639.html,,,,,2025-06
SSE,243157,GC申YKV4,申能股份有限公司2025年面向专业投资者公开发行碳中和绿色科技创新乡村振兴可续期公司债券（第二期）发行结果公告,2025-07-07,sse_result_sentence,6.0,actual,2025-07-07,申能股份有限公司2025年面向专业投资者公开发行碳中和绿色科技创新乡村振兴可续期公司债券（第二期）发行结果公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-07-07/243157_20250707_A679.pdf,,,,,2025-07
SSE,243158,GC申YKV5,申能股份有限公司2025年面向专业投资者公开发行碳中和绿色科技创新乡村振兴可续期公司债券（第二期）发行结果公告,2025-07-07,sse_result_sentence,6.0,actual,2025-07-07,申能股份有限公司2025年面向专业投资者公开发行碳中和绿色科技创新乡村振兴可续期公司债券（第二期）发行结果公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-07-07/243158_20250707_6J6R.pdf,,,,,2025-07
SSE,243367,苏垦KV02,江苏省农垦集团有限公司2025年面向专业投资者公开发行科技创新乡村振兴公司债券（第二期）发行结果公告,2025-07-18,sse_result_sentence,10.0,actual,2025-07-18,江苏省农垦集团有限公司2025年面向专业投资者公开发行科技创新乡村振兴公司债券（第二期）发行结果公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-07-18/243367_20250718_95I5.pdf,,,,,2025-07
SSE,243368,苏垦KV03,江苏省农垦集团有限公司2025年面向专业投资者公开发行科技创新乡村振兴公司债券（第二期）发行结果公告,2025-07-18,sse_result_sentence,10.0,actual,2025-07-18,江苏省农垦集团有限公司2025年面向专业投资者公开发行科技创新乡村振兴公司债券（第二期）发行结果公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-07-18/243368_20250718_GSA1.pdf,,,,,2025-07
SZSE,134346,25恩施V2,关于为恩施州国有资本投资运营集团有限公司2025年面向专业投资者非公开发行乡村振兴公司债券（革命老区）（品种二）提供转让服务有关事项的通知,2025-07-23,szse_listing_start_sentence,10.0,total,2025-07-22,关于为恩施州国有资本投资运营集团有限公司2025年面向专业投资者非公开发行乡村振兴公司债券（革命老区）（品种二）提供转让服务有关事项的通知,http://www.szse.cn/disclosure/notice/bond/t20250722_615067.html,,,,,2025-07
SZSE,134356,25金丰V1,关于为桓台县金丰产业发展投资集团有限公司2025年面向专业投资者非公开发行乡村振兴公司债券（第一期）提供转让服务有关事项的通知,2025-07-23,szse_listing_start_sentence,2.8,total,2025-07-22,关于为桓台县金丰产业发展投资集团有限公司2025年面向专业投资者非公开发行乡村振兴公司债券（第一期）提供转让服务有关事项的通知,http://www.szse.cn/disclosure/notice/bond/t20250722_615069.html,,,,,2025-07
SZSE,134402,25洛兴V1,关于为洛阳国兴产业投资有限公司2025年面向专业投资者非公开发行乡村振兴公司债券提供转让服务有关事项的通知,2025-08-06,szse_listing_start_sentence,6.0,total,2025-08-05,关于为洛阳国兴产业投资有限公司2025年面向专业投资者非公开发行乡村振兴公司债券提供转让服务有关事项的通知,http://www.szse.cn/disclosure/notice/bond/t20250805_615347.html,,,,,2025-08
SZSE,134398,25郁南V1,关于为郁南县创兴产业投资集团有限公司2025年面向专业投资者非公开发行乡村振兴公司债券（第一期）提供转让服务有关事项的通知,2025-08-07,szse_listing_start_sentence,6.0,total,2025-08-06,关于为郁南县创兴产业投资集团有限公司2025年面向专业投资者非公开发行乡村振兴公司债券（第一期）提供转让服务有关事项的通知,http://www.szse.cn/disclosure/notice/bond/t20250806_615373.html,,,,,2025-08
SZSE,134412,25高要V1,关于为肇庆市高要区高宏产业投资发展有限公司2025年面向专业投资者非公开发行乡村振兴公司债券（第一期）提供转让服务有关事项的通知,2025-08-07,szse_listing_start_sentence,2.58,total,2025-08-06,关于为肇庆市高要区高宏产业投资发展有限公司2025年面向专业投资者非公开发行乡村振兴公司债券（第一期）提供转让服务有关事项的通知,http://www.szse.cn/disclosure/notice/bond/t20250806_615368.html,,,,,2025-08
SZSE,134415,25农投V1,关于为平度市农业投资开发有限公司2025年面向专业投资者非公开发行乡村振兴公司债券（第一期）提供转让服务有关事项的通知,2025-08-13,szse_listing_start_sentence,5.3,total,2025-08-12,关于为平度市农业投资开发有限公司2025年面向专业投资者非公开发行乡村振兴公司债券（第一期）提供转让服务有关事项的通知,http://www.szse.cn/disclosure/notice/bond/t20250812_615444.html,,,,,2025-08
SZSE,134430,25东源V1,关于为东源县国有资产投资集团有限公司2025年面向专业投资者非公开发行乡村振兴公司债券（第一期）提供转让服务有关事项的通知,2025-08-26,szse_listing_start_sentence,2.5,total,2025-08-25,关于为东源县国有资产投资集团有限公司2025年面向专业投资者非公开发行乡村振兴公司债券（第一期）提供转让服务有关事项的通知,http://www.szse.cn/disclosure/notice/bond/t20250825_615660.html,,,,,2025-08
SZSE,134479,25隆川V1,关于为郎溪县隆川建设投资发展有限公司2025年面向专业投资者非公开发行乡村振兴公司债券提供转让服务有关事项的通知,2025-09-16,szse_listing_start_sentence,3.0,total,2025-09-15,关于为郎溪县隆川建设投资发展有限公司2025年面向专业投资者非公开发行乡村振兴公司债券提供转让服务有关事项的通知,http://www.szse.cn/disclosure/notice/bond/t20250915_616079.html,,,,,2025-09
SZSE,134518,25东锦V1,关于为成都东锦产业投资集团有限公司2025年面向专业投资者非公开发行乡村振兴公司债券（第一期）（品种一）等两只债券提供转让服务有关事项的通知,2025-09-30,szse_listing_start_sentence,6.0,total,2025-09-29,关于为成都东锦产业投资集团有限公司2025年面向专业投资者非公开发行乡村振兴公司债券（第一期）（品种一）等两只债券提供转让服务有关事项的通知,http://www.szse.cn/disclosure/notice/bond/t20250929_616385.html,,,,,2025-09
SZSE,134543,25锡投V1,关于为无锡锡山金融投资集团有限公司2025年面向专业投资者非公开发行乡村振兴公司债券提供转让服务有关事项的通知,2025-10-27,szse_listing_start_sentence,3.0,total,2025-10-24,关于为无锡锡山金融投资集团有限公司2025年面向专业投资者非公开发行乡村振兴公司债券提供转让服务有关事项的通知,http://www.szse.cn/disclosure/notice/bond/t20251024_616618.html,,,,,2025-10
SZSE,524489,25越租GV01,关于广州越秀融资租赁有限公司2025年面向专业投资者公开发行碳中和绿色公司债券（乡村振兴）（气候主题）（第一期）（品种一）等三只债券上市有关事项的通知,2025-10-27,szse_result_announcement_publish_date,4.0,scale,2025-10-30,关于广州越秀融资租赁有限公司2025年面向专业投资者公开发行碳中和绿色公司债券（乡村振兴）（气候主题）（第一期）（品种一）等三只债券上市有关事项的通知,http://www.szse.cn/disclosure/notice/bond/t20251030_616973.html,,http://disc.static.szse.cn/download/disc/disk03/finalpage/2025-10-27/49ddcdc1-46df-47fa-bad1-d7f4feb3670e.PDF,25越租GV01：广州越秀融资租赁有限公司2025年面向专业投资者公开发行碳中和绿色公司债券（乡村振兴）（气候主题）（第一期）发行结果公告,2025-10-27,2025-10
SZSE,134582,25明诚V,关于为菏泽市明诚产业投资有限公司2025年面向专业投资者非公开发行乡村振兴公司债券提供转让服务有关事项的通知,2025-11-06,szse_listing_start_sentence,3.0,total,2025-11-05,关于为菏泽市明诚产业投资有限公司2025年面向专业投资者非公开发行乡村振兴公司债券提供转让服务有关事项的通知,http://www.szse.cn/disclosure/notice/bond/t20251105_617070.html,,,,,2025-11
SZSE,134580,25阳农01,关于为阳新农业发展集团有限公司2025年面向专业投资者非公开发行乡村振兴公司债券（第一期）提供转让服务有关事项的通知,2025-11-10,szse_listing_start_sentence,3.0,total,2025-11-07,关于为阳新农业发展集团有限公司2025年面向专业投资者非公开发行乡村振兴公司债券（第一期）提供转让服务有关事项的通知,http://www.szse.cn/disclosure/notice/bond/t20251107_617123.html,,,,,2025-11
SZSE,134629,25农投V3,关于为平度市农业投资开发有限公司2025年面向专业投资者非公开发行乡村振兴公司债券（第二期）（品种二）提供转让服务有关事项的通知,2025-11-18,szse_listing_start_sentence,2.2,total,2025-11-17,关于为平度市农业投资开发有限公司2025年面向专业投资者非公开发行乡村振兴公司债券（第二期）（品种二）提供转让服务有关事项的通知,http://www.szse.cn/disclosure/notice/bond/t20251117_617295.html,,,,,2025-11
SZSE,134483,25长水GV2,关于为长沙县水业控股集团有限公司2025年面向专业投资者非公开发行绿色乡村振兴公司债券（第二期）提供转让服务有关事项的通知,2025-11-26,szse_listing_start_sentence,2.8,total,2025-11-25,关于为长沙县水业控股集团有限公司2025年面向专业投资者非公开发行绿色乡村振兴公司债券（第二期）提供转让服务有关事项的通知,http://www.szse.cn/disclosure/notice/bond/t20251125_617455.html,,,,,2025-11
SZSE,134659,25洞庭V1,关于为湖南洞庭新实业集团有限公司2025年面向专业投资者非公开发行乡村振兴公司债券（第一期）提供转让服务有关事项的通知,2025-11-27,szse_listing_start_sentence,3.0,total,2025-11-26,关于为湖南洞庭新实业集团有限公司2025年面向专业投资者非公开发行乡村振兴公司债券（第一期）提供转让服务有关事项的通知,http://www.szse.cn/disclosure/notice/bond/t20251126_617496.html,,,,,2025-11
SZSE,134671,25未来V1,关于为东营未来产业服务有限公司2025年面向专业投资者非公开发行乡村振兴公司债券（黄河流域建设）（第一期）提供转让服务有关事项的通知,2025-12-03,szse_listing_start_sentence,2.5,total,2025-12-02,关于为东营未来产业服务有限公司2025年面向专业投资者非公开发行乡村振兴公司债券（黄河流域建设）（第一期）提供转让服务有关事项的通知,http://www.szse.cn/disclosure/notice/bond/t20251202_617666.html,,,,,2025-12
SSE,244345,25成高V1,成都高速公路股份有限公司2025年面向专业投资者公开发行乡村振兴公司债券(成渝双城经济圈)（第一期）发行结果公告,2025-12-15,sse_result_sentence,5.0,actual,2025-12-15,成都高速公路股份有限公司2025年面向专业投资者公开发行乡村振兴公司债券(成渝双城经济圈)（第一期）发行结果公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-12-15/244345_20251215_0WVR.pdf,,,,,2025-12
SZSE,134687,25镇兴V1,关于为宁波市镇海区镇兴投资建设运营集团有限公司2025年面向专业投资者非公开发行乡村振兴公司债券（第一期）提供转让服务有关事项的通知,2025-12-15,szse_listing_start_sentence,1.0,total,2025-12-12,关于为宁波市镇海区镇兴投资建设运营集团有限公司2025年面向专业投资者非公开发行乡村振兴公司债券（第一期）提供转让服务有关事项的通知,http://www.szse.cn/disclosure/notice/bond/t20251212_617961.html,,,,,2025-12
SZSE,134743,25绿冶V1,关于为湖北绿冶产业投资集团有限公司2025年面向专业投资者非公开发行乡村振兴公司债券（第一期）提供转让服务有关事项的通知,2025-12-30,szse_listing_start_sentence,2.0,total,2025-12-29,关于为湖北绿冶产业投资集团有限公司2025年面向专业投资者非公开发行乡村振兴公司债券（第一期）提供转让服务有关事项的通知,http://www.szse.cn/disclosure/notice/bond/t20251229_618171.html,,,,,2025-12
